number of outliers : 276
id,time,values
1,14:34:54,1916.2
1,14:35:4,443.4
1,14:35:14,2213.4
1,14:35:34,2820.6
1,14:35:44,2438.4
1,14:36:4,2439.8
1,14:36:34,1688.6
1,14:36:54,2423.4
1,14:37:4,801.8
1,14:37:24,2406.6
1,14:37:34,1685.4
1,14:37:44,888.2
1,14:37:54,1722
1,14:38:14,2150.8
1,14:38:24,484.4
1,14:38:54,1732
1,14:39:24,555.2
1,14:39:34,2387.2
1,14:39:44,18.6
1,14:39:54,100.6
1,14:40:14,1901.4
1,14:40:24,2992
1,14:40:34,2619.4
1,14:41:4,2184.2
1,14:41:24,163
1,14:41:34,2382.6
1,14:42:4,131.2
1,14:42:14,325.6
1,14:42:24,179.2
1,14:42:34,80
1,14:42:44,1764.4
1,14:42:54,853.6
1,14:43:4,314
1,14:43:24,877.4
1,14:43:34,2078.4
1,14:43:44,2548
1,14:43:54,16.8
1,14:44:4,2609.4
1,14:44:34,1900
1,14:44:44,2787.4
1,14:44:54,564.2
1,14:45:4,2437.6
1,14:45:14,47.8
1,14:45:24,1742
1,14:45:34,2927
1,14:45:54,2880.6
1,14:46:14,605.6
1,14:46:24,2270.2
1,14:46:44,2701.2
1,14:46:54,2229.8
1,14:47:4,474.6
1,14:47:14,2453.6
1,14:47:34,2382.8
1,14:47:44,425.4
1,14:48:14,37
1,14:48:24,690
1,14:48:44,1822
1,14:48:54,2820.2
1,14:49:4,103.4
1,14:49:24,1639.8
1,14:49:34,2367.8
1,14:49:44,1909.4
1,14:49:54,2003.4
1,14:50:4,73.2
1,14:50:14,2217
1,14:50:24,412
1,14:50:34,2487.8
1,14:50:54,2727.6
1,14:51:4,860.2
1,14:51:14,2147.2
1,14:51:34,484.4
1,14:51:44,229.6
1,14:51:54,245.4
1,14:52:4,536.4
1,14:52:24,1796
1,14:52:34,2015.8
1,14:52:44,2075
1,14:52:54,2648.8
1,14:53:4,569.2
1,14:53:24,1853.8
1,14:53:54,111.8
1,14:54:4,170.6
1,14:54:14,385.4
1,14:54:24,1867
1,14:54:34,2660.2
1,14:54:44,443.8
1,14:54:54,376.6
1,14:55:4,1785
1,14:55:24,91.2
1,14:55:54,340
1,14:56:14,307.8
1,14:56:24,238.2
1,14:56:34,2243
1,14:56:44,843
1,14:56:54,2215.6
1,14:57:14,653.4
1,14:57:34,1866.8
1,14:57:44,2076
1,14:58:4,2499
1,14:58:14,829.8
1,14:58:24,131.6
1,14:58:34,1991
1,14:58:44,2788.4
1,14:58:54,2515.8
1,14:59:4,2199.2
1,14:59:14,2922
1,14:59:24,284.4
1,14:59:34,2436
1,14:59:44,1726.8
1,14:59:54,272.2
1,15:0:4,1933.6
1,15:0:14,591
1,15:0:24,24
1,15:0:34,2010.4
1,15:0:44,2267.4
1,15:0:54,673.4
1,15:1:4,194.4
1,15:1:14,367.8
1,15:1:34,365.6
1,15:1:44,1657.8
1,15:1:54,1898
1,15:2:4,2739.2
1,15:2:14,2945.6
1,15:2:24,2023.2
1,15:2:34,2764
1,15:2:44,616.8
1,15:2:54,1908
1,15:3:4,2959.8
1,15:3:14,218.8
1,15:3:24,672.2
1,15:3:34,389.2
1,15:3:44,1806.6
1,15:3:54,2407.6
1,15:4:4,51.8
1,15:4:14,441.2
1,15:4:24,1718
1,15:4:34,724.8
1,15:4:44,719
1,15:4:54,2943.8
1,15:5:4,63.4
1,15:5:14,2118.4
1,15:5:44,113.8
1,15:6:4,774
1,15:6:14,851.8
1,15:6:24,2262.2
1,15:6:34,2731
1,15:6:54,2314.6
1,15:7:4,303.6
1,15:7:14,2515.4
1,15:7:24,377.8
1,15:7:44,2512
1,15:7:54,2271.2
1,15:8:4,1733.8
1,15:8:24,542.8
1,15:8:34,467.6
1,15:8:44,24.4
1,15:8:54,1996.2
1,15:9:4,332.4
1,15:9:14,1951.6
1,15:9:34,2642.8
1,15:9:54,2931
1,15:10:4,776.6
1,15:10:24,2090.4
1,15:10:44,2737.6
1,15:10:54,1779.4
1,15:11:4,1969.8
1,15:11:14,25
1,15:11:24,638.2
1,15:11:34,2254.4
1,15:11:44,86
1,15:12:4,296
1,15:12:24,1916.4
1,15:12:34,1617.8
1,15:12:44,148.6
1,15:12:54,480.2
1,15:13:4,1843.4
1,15:13:14,266.4
1,15:13:24,785.4
1,15:13:34,2015
1,15:13:44,135.2
1,15:13:54,270.4
1,15:14:4,72.8
1,15:14:14,2417.2
1,15:14:24,2387.6
1,15:14:34,546.8
1,15:14:44,1787.4
1,15:14:54,2862
1,15:15:4,1778.2
1,15:15:14,2516
1,15:15:24,1613.8
1,15:15:34,479.4
1,15:15:54,268
1,15:16:4,442
1,15:16:24,1850.6
1,15:16:54,2303.8
1,15:17:4,36.8
1,15:17:14,2124
1,15:17:24,2484
1,15:17:34,819.6
1,15:17:54,188.2
1,15:18:4,2868.6
1,15:18:24,2139
1,15:18:44,1820.6
1,15:19:14,241.2
1,15:19:24,2188.8
1,15:19:34,2730.4
1,15:19:44,375.4
1,15:20:14,2663
1,15:20:24,572.2
1,15:20:34,576.2
1,15:20:54,369.6
1,15:21:14,1886.4
1,15:21:24,613.2
1,15:21:34,2587.8
1,15:21:44,336.4
1,15:21:54,596.8
1,15:22:14,2180.4
1,15:22:24,764.6
1,15:22:44,2577.2
1,15:22:54,2716.2
1,15:23:4,890.8
1,15:23:14,1882.6
1,15:23:24,868.2
1,15:23:34,2378.8
1,15:23:44,799
1,15:23:54,2534
1,15:24:4,2806
1,15:24:14,2443.6
1,15:24:34,2326.4
1,15:24:44,43.8
1,15:24:54,665.6
1,15:25:4,2745.6
1,15:25:14,164.6
1,15:25:34,2750.4
1,15:25:44,76.6
1,15:25:54,327
1,15:26:4,2776
1,15:26:14,1995.2
1,15:26:24,757.4
1,15:26:34,1708.8
1,15:26:44,2836
1,15:26:54,1722.2
1,15:27:4,2563.8
1,15:27:14,119.4
1,15:27:24,767.8
1,15:27:34,2163.4
1,15:28:34,2923
1,15:28:44,1672.2
1,15:29:4,1716.2
1,15:29:24,2178.8
1,15:29:34,1671
1,15:29:44,2007.8
1,15:29:54,2379
1,15:30:4,1950.6
1,15:30:14,710.8
1,15:30:34,2038
1,15:30:44,2253.2
1,15:30:54,2098
1,15:31:4,1690.4
1,15:31:14,2444.6
1,15:31:24,2597.4
1,15:31:34,1693.2
1,15:31:44,2366.2
1,15:32:4,2506.2
1,15:32:14,2393.4
1,15:32:34,2785.8
1,15:32:44,850.4
1,15:33:4,1844.2
1,15:33:24,1717
1,15:33:34,727
1,15:33:44,1665.4
1,15:33:54,544.8
1,15:34:14,2888.8
1,15:34:24,2168.8
1,15:34:44,506.6
1,15:34:54,391
