id,time,values
1,19:15:54,2714.8
2,19:15:54,307.8
3,19:15:54,710.4
4,19:15:54,981.6
5,19:15:54,510.8
1,19:15:55,324.2
2,19:15:55,1753.6
3,19:15:55,996.6
4,19:15:55,189.6
5,19:15:55,470
1,19:15:56,1364
2,19:15:56,2681.4
3,19:15:56,2356.6
4,19:15:56,1430.6
5,19:15:56,922.6
1,19:15:57,218.4
2,19:15:57,2524
3,19:15:57,100.6
4,19:15:57,273.2
5,19:15:57,196
1,19:15:58,1766.2
2,19:15:58,168.8
3,19:15:58,1596.8
4,19:15:58,2712.4
5,19:15:58,520.8
1,19:15:59,2443.2
2,19:15:59,20
3,19:15:59,1586
4,19:15:59,502.2
5,19:15:59,2570.8
1,19:16:00,828.8
2,19:16:00,1322.2
3,19:16:00,258
4,19:16:00,1590.2
5,19:16:00,2522.8
1,19:16:01,2637.4
2,19:16:01,734.6
3,19:16:01,1393.8
4,19:16:01,355.2
5,19:16:01,681.8
1,19:16:02,2344.8
2,19:16:02,325.4
3,19:16:02,40.4
4,19:16:02,37
5,19:16:02,664.8
1,19:16:03,310
2,19:16:03,1841
3,19:16:03,226.2
4,19:16:03,1745
5,19:16:03,2529.6
1,19:16:04,1340.4
2,19:16:04,2557.8
3,19:16:04,1460.6
4,19:16:04,2720.4
5,19:16:04,176.8
1,19:16:05,82.8
2,19:16:05,1757.8
3,19:16:05,2979.8
4,19:16:05,1998.8
5,19:16:05,2998.4
1,19:16:06,1519.4
2,19:16:06,2135.2
3,19:16:06,2704.2
4,19:16:06,2295.2
5,19:16:06,1500.8
1,19:16:07,1841
2,19:16:07,1781.2
3,19:16:07,560.6
4,19:16:07,700.4
5,19:16:07,1520.4
1,19:16:08,2597.8
2,19:16:08,1458.4
3,19:16:08,81.8
4,19:16:08,2337.2
5,19:16:08,2795.8
1,19:16:09,87.6
2,19:16:09,1119
3,19:16:09,422.4
4,19:16:09,833.8
5,19:16:09,2901
1,19:16:10,1826
2,19:16:10,2647.6
3,19:16:10,1510
4,19:16:10,1419.6
5,19:16:10,1571.6
1,19:16:11,2294.6
2,19:16:11,319.6
3,19:16:11,1534
4,19:16:11,534.2
5,19:16:11,2556.4
1,19:16:12,1884.4
2,19:16:12,1056.6
3,19:16:12,755
4,19:16:12,1364.2
5,19:16:12,1072.4
1,19:16:13,1669.2
2,19:16:13,1900.4
3,19:16:13,2986.4
4,19:16:13,344.6
5,19:16:13,2578.8
1,19:16:14,1542.4
2,19:16:14,1939.2
3,19:16:14,2859.8
4,19:16:14,1379.8
5,19:16:14,89.8
1,19:16:15,2289
2,19:16:15,1576.8
3,19:16:15,2182.8
4,19:16:15,2734.6
5,19:16:15,126.6
1,19:16:16,2018
2,19:16:16,531.2
3,19:16:16,220.2
4,19:16:16,2074.2
5,19:16:16,2456.8
1,19:16:17,737.8
2,19:16:17,1974
3,19:16:17,2011
4,19:16:17,304.2
5,19:16:17,440
1,19:16:18,364.6
2,19:16:18,1266
3,19:16:18,2928.6
4,19:16:18,515.6
5,19:16:18,582.2
1,19:16:19,223.8
2,19:16:19,1780
3,19:16:19,1543.2
4,19:16:19,1459.2
5,19:16:19,2785.8
1,19:16:20,808.8
2,19:16:20,2224.4
3,19:16:20,770
4,19:16:20,1100.8
5,19:16:20,87
1,19:16:21,1141.2
2,19:16:21,263.2
3,19:16:21,243.4
4,19:16:21,280.4
5,19:16:21,1482.6
1,19:16:22,2795.4
2,19:16:22,2336.4
3,19:16:22,969.6
4,19:16:22,2259.4
5,19:16:22,1692.2
1,19:16:23,1260.8
2,19:16:23,2803.6
3,19:16:23,46.2
4,19:16:23,1918
5,19:16:23,545
1,19:16:24,2743
2,19:16:24,2922.8
3,19:16:24,1969.2
4,19:16:24,2694.6
5,19:16:24,1460.6
