id,time,values
1
2,19:16:46,126.8
3,19:16:46,2997
4,19:16:46,2203.2
5,19:16:46,2924.8
1,19:16:47,1840.6
2,19:16:47,1355.2
3,19:16:47,320.6
4,19:16:47,1516.6
5,19:16:47,1513
1,19:16:48,2826
2,19:16:48,139.2
3,19:16:48,224.6
4,19:16:48,118.6
5,19:16:48,2345.2
1,19:16:49,33.8
2,19:16:49,2626.4
3,19:16:49,1115.4
4,19:16:49,205
5,19:16:49,2369.4
1,19:16:50,2522.6
2,19:16:50,330.8
3,19:16:50,464.6
4,19:16:50,574.6
5,19:16:50,1659
1,19:16:51,2490
2,19:16:51,2360
3,19:16:51,2539.6
4,19:16:51,2571.6
5,19:16:51,1860.2
1,19:16:52,2270.8
2,19:16:52,1322
3,19:16:52,961.4
4,19:16:52,371.4
5,19:16:52,414.6
1,19:16:53,1970.8
2,19:16:53,2453.6
3,19:16:53,2499.4
4,19:16:53,2101.8
5,19:16:53,2812.6
1,19:16:54,273.4
2,19:16:54,2478.4
3,19:16:54,2510.8
4,19:16:54,1412.8
5,19:16:54,38
1,19:16:55,1580.8
2,19:16:55,93.4
3,19:16:55,2902.4
4,19:16:55,489.8
5,19:16:55,1328.4
1,19:16:56,1189.2
2,19:16:56,362
3,19:16:56,731.6
4,19:16:56,2775.2
5,19:16:56,801.8
1,19:16:57,2560.2
2,19:16:57,584
3,19:16:57,448.2
4,19:16:57,1912.8
5,19:16:57,794.8
1,19:16:58,914.8
2,19:16:58,1093.4
3,19:16:58,2857
4,19:16:58,434.6
5,19:16:58,2138.2
1,19:16:59,1719.6
2,19:16:59,534.4
3,19:16:59,464.2
4,19:16:59,2202.8
5,19:16:59,2091
1,19:17:00,799.8
2,19:17:00,199.6
3,19:17:00,1670
4,19:17:00,462
5,19:17:00,2244.2
1,19:17:01,484.2
2,19:17:01,1095
3,19:17:01,2848
4,19:17:01,139.6
5,19:17:01,292.2
1,19:17:02,354
2,19:17:02,2843.2
3,19:17:02,994.6
4,19:17:02,264.8
5,19:17:02,1087
1,19:17:03,257
2,19:17:03,2595
3,19:17:03,129.4
4,19:17:03,2562.2
5,19:17:03,1280
1,19:17:04,874.8
2,19:17:04,968.8
3,19:17:04,1511.8
4,19:17:04,1750.2
5,19:17:04,1151.4
1,19:17:05,1826.6
2,19:17:05,2201.6
3,19:17:05,41.2
4,19:17:05,960.2
5,19:17:05,1850.6
1,19:17:06,75.4
2,19:17:06,1671.8
3,19:17:06,1365.8
4,19:17:06,1476.8
5,19:17:06,1680
1,19:17:07,1839.8
2,19:17:07,1750.4
3,19:17:07,2585.2
4,19:17:07,2999
5,19:17:07,2088.6
1,19:17:08,63
2,19:17:08,81.6
3,19:17:08,669.8
4,19:17:08,413.4
5,19:17:08,891.8
1,19:17:09,1012.2
2,19:17:09,2977.6
3,19:17:09,2802.4
4,19:17:09,1405.8
5,19:17:09,1682.8
1,19:17:10,2031.8
2,19:17:10,415.4
3,19:17:10,700.2
4,19:17:10,890
5,19:17:10,1068
1,19:17:11,2245.2
2,19:17:11,1102
3,19:17:11,2718
4,19:17:11,2.8
5,19:17:11,2081.2
1,19:17:12,75.2
2,19:17:12,2831.2
3,19:17:12,2946
4,19:17:12,2236.6
5,19:17:12,559.8
1,19:17:13,2.6
2,19:17:13,2205.8
3,19:17:13,96.2
4,19:17:13,1767.2
5,19:17:13,587.6
1,19:17:14,110.8
2,19:17:14,963.4
3,19:17:14,1967.4
4,19:17:14,2172.8
5,19:17:14,135.4
1,19:17:15,1561.6
2,19:17:15,164
3,19:17:15,1732.2
4,19:17:15,2443.4
5,19:17:15,1269
1,19:17:16,85.6
2,19:17:16,1090.8
3,19:17:16,2359
4,19:17:16,1393.6
5,19:17:16,1409.8
1,19:17:17,2134.4
2,19:17:17,2494.4
3,19:17:17,2825.4
4,19:17:17,840.2
5,19:17:17,2692.6
1,19:17:18,2768.2
2,19:17:18,32.8
3,19:17:18,2722.6
4,19:17:18,1961.6
5,19:17:18,2573.6
1,19:17:19,59.4
2,19:17:19,2984.6
3,19:17:19,2713.4
4,19:17:19,1524.8
5,19:17:19,2825.2
1,19:17:20,1045
2,19:17:20,665.2
3,19:17:20,1444
4,19:17:20,2965.2
5,19:17:20,11.6
1,19:17:21,385
2,19:17:21,2271
3,19:17:21,2260
4,19:17:21,214.4
5,19:17:21,406.8
2282.6
2,19:17:22,2007
3,19:17:22,1989.2
4,19:17:22,354.6
5,19:17:22,838.2
1,19:17:23,862.6
2,19:17:23,1590.8
3,19:17:23,471.8
4,19:17:23,2906
5,19:17:23,1782.4
1,19:17:24,893.8
2,19:17:24,1805.6
3,19:17:24,758
4,19:17:24,1306.4
5,19:17:24,311.8
1,19:17:25,2650.6
2,19:17:25,2689
3,19:17:25,1460.2
4,19:17:25,1426.6
5,19:17:25,2015.4
1,19:17:26,1949
2,19:17:26,1729
3,19:17:26,1007.8
4,19:17:26,1844.2
5,19:17:26,1769.4
1,19:17:27,1972.8
2,19:17:27,539.4
3,19:17:27,2115.4
4,19:17:27,417.8
5,19:17:27,2802.2
1,19:17:28,1012.6
2,19:17:28,1213
3,19:17:28,1945.2
4,19:17:28,645.4
5,19:17:28,547.4
1,19:17:29,1946
2,19:17:29,1799
3,19:17:29,1686.2
4,19:17:29,1397
5,19:17:29,1973.2
1,19:17:30,176.2
2,19:17:30,1135
3,19:17:30,2527.4
4,19:17:30,2795.4
5,19:17:30,2714.6
1,19:17:31,420.2
2,19:17:31,266.6
3,19:17:31,1948.2
4,19:17:31,120.8
5,19:17:31,2037.2
1,19:17:32,1175
2,19:17:32,892.4
3,19:17:32,271.2
4,19:17:32,726.2
5,19:17:32,1092.8
1,19:17:33,345.4
2,19:17:33,1509.6
3,19:17:33,803.2
4,19:17:33,1396
5,19:17:33,230.8
1,19:17:34,165.2
2,19:17:34,2038
3,19:17:34,1094.6
4,19:17:34,1180.2
5,19:17:34,2192
1,19:17:35,2859
2,19:17:35,1694.4
3,19:17:35,2254.6
4,19:17:35,2392.2
5,19:17:35,1730.8
1,19:17:36,655
2,19:17:36,115.4
3,19:17:36,1383.4
4,19:17:36,946.4
5,19:17:36,954.6
1,19:17:37,1765
2,19:17:37,1201.6
3,19:17:37,554.8
4,19:17:37,2342.2
5,19:17:37,1758.2
1,19:17:38,349.6
2,19:17:38,327.8
3,19:17:38,2255.4
4,19:17:38,352.4
5,19:17:38,1660.2
1,19:17:39,2844
2,19:17:39,409.4
3,19:17:39,1584
4,19:17:39,1845
5,19:17:39,1660
1,19:17:40,610.4
2,19:17:40,1176.6
3,19:17:40,711.8
4,19:17:40,925.8
5,19:17:40,1116.2
1,19:17:41,533
2,19:17:41,2329.4
3,19:17:41,48
4,19:17:41,654.2
5,19:17:41,2799.8
1,19:17:42,803
2,19:17:42,184.2
3,19:17:42,2651.8
4,19:17:42,1911.2
5,19:17:42,1257.2
1,19:17:43,112.6
2,19:17:43,1126.4
3,19:17:43,2947.4
4,19:17:43,2924.2
5,19:17:43,2106.8
1,19:17:44,1541
2,19:17:44,625
3,19:17:44,613.6
4,19:17:44,2702.6
5,19:17:44,1090
1,19:17:45,1320.8
2,19:17:45,2765.4
3,19:17:45,1771.4
4,19:17:45,1528.2
5,19:17:45,1382
1,19:17:46,54.6
2,19:17:46,2578.4
3,19:17:46,1055
4,19:17:46,420.6
5,19:17:46,2055.6
1,19:17:47,640.4
2,19:17:47,2746.6
3,19:17:47,795.8
4,19:17:47,2974.6
5,19:17:47,2105.6
1,19:17:48,493.8
2,19:17:48,2572.2
3,19:17:48,1698.6
4,19:17:48,237.6
5,19:17:48,240.2
1,19:17:49,1779.2
2,19:17:49,179
3,19:17:49,1808.6
4,19:17:49,836.4
5,19:17:49,940
1,19:17:50,855.2
2,19:17:50,2921.8
3,19:17:50,198.8
4,19:17:50,53.8
5,19:17:50,1909.4
1,19:17:51,1022.8
2,19:17:51,837.6
3,19:17:51,853
4,19:17:51,164.2
5,19:17:51,1754.2
1,19:17:52,138.4
2,19:17:52,1755.2
3,19:17:52,728.6
4,19:17:52,2086
5,19:17:52,1445.2
1,19:17:53,2349.4
2,19:17:53,1358
3,19:17:53,1464.4
4,19:17:53,221
5,19:17:53,1240.6
1,19:17:54,1396.6
2,19:17:54,2756
3,19:17:54,2017
4,19:17:54,1586
5,19:17:54,121
1,19:17:55,2296.8
2,19:17:55,2053.2
3,19:17:55,1439
4,19:17:55,394.4
5,19:17:55,1255
1,19:17:56,274.6
2,19:17:56,2024.2
3,19:17:56,1556.2
4,19:17:56,2166.8
5,19:17:56,1664.2
1,19:17:57,636.8
2,19:17:57,1331.6
3,19:17:57,983.2
4,19:17:57,1053.2
5,19:17:57,2475.6
1,19:17:58,469.4
2,19:17:58,1806
3,19:17:58,49.6
4,19:17:58,2467.4
5,19:17:58,2662
1,19:17:59,2989.4
2,19:17:59,2892.2
3,19:17:59,1479
4,19:17:59,367.4
5,19:17:59,2790.4
1,19:18:00,1.6
2,19:18:00,1887.2
3,19:18:00,1622.6
4,19:18:00,1110.2
5,19:18:00,2976.8
1,19:18:01,880
2,19:18:01,1146.6
3,19:18:01,2324
4,19:18:01,523.4
5,19:18:01,2251
1,19:18:02,247.6
2,19:18:02,1504.2
3,19:18:02,921
4,19:18:02,398.2
5,19:18:02,1963.6
1,19:18:03,565.6
2,19:18:03,745.4
3,19:18:03,1820.4
4,19:18:03,2733.2
5,19:18:03,1663.8
1,19:18:04,2581.8
2,19:18:04,1185.2
3,19:18:04,668.4
4,19:18:04,2496.6
5,19:18:04,84.2
1,19:18:05,2135.2
2,19:18:05,747.8
3,19:18:05,2034.4
4,19:18:05,1244.2
5,19:18:05,1243.6
1,19:18:06,1867.2
2,19:18:06,1225.6
3,19:18:06,9.6
4,19:18:06,1608.4
5,19:18:06,1330.8
1,19:18:07,324
2,19:18:07,1863
3,19:18:07,2516.2
4,19:18:07,226.6
5,19:18:07,49.8
1,19:18:08,863.6
2,19:18:08,876.4
3,19:18:08,734.2
4,19:18:08,1995
5,19:18:08,1992.2
1,19:18:09,284.8
2,19:18:09,2494.4
3,19:18:09,2057
4,19:18:09,1477.8
5,19:18:09,244.8
1,19:18:10,1171
2,19:18:10,1530.4
3,19:18:10,2664.4
4,19:18:10,2556.8
5,19:18:10,1230
1,19:18:11,1057.8
2,19:18:11,1738.2
3,19:18:11,2016.8
4,19:18:11,190.6
5,19:18:11,1352.4
1,19:18:12,192.8
2,19:18:12,654
3,19:18:12,356
4,19:18:12,933.8
5,19:18:12,2733.6
1,19:18:13,1918.2
2,19:18:13,1404.8
3,19:18:13,173.2
4,19:18:13,2562
5,19:18:13,27.6
1,19:18:14,2847.6
2,19:18:14,2761
3,19:18:14,298.8
4,19:18:14,2383
5,19:18:14,1714.4
1,19:18:15,1551.2
2,19:18:15,207.4
3,19:18:15,930.2
4,19:18:15,494.8
5,19:18:15,2582.4
1,19:18:16,2909.2
2,19:18:16,957.4
3,19:18:16,908.2
4,19:18:16,1987.4
5,19:18:16,1725.8
1,19:18:17,1187.8
2,19:18:17,2551
3,19:18:17,2831.2
4,19:18:17,966.8
5,19:18:17,2224.4
1,19:18:18,399.6
2,19:18:18,13
3,19:18:18,2826
4,19:18:18,2745.6
5,19:18:18,2580.2
1,19:18:19,294
2,19:18:19,228
3,19:18:19,184.4
4,19:18:19,485.6
5,19:18:19,2584.6
1,19:18:20,1249.6
2,19:18:20,2971.4
3,19:18:20,1316.8
4,19:18:20,1852.6
5,19:18:20,68.4
1,19:18:21,1373.2
2,19:18:21,1040
3,19:18:21,1382.6
4,19:18:21,916.2
5,19:18:21,158
1,19:18:22,345
2,19:18:22,1298.4
3,19:18:22,2654
4,19:18:22,2646.8
5,19:18:22,411.4
1,19:18:23,2718.8
2,19:18:23,693.4
3,19:18:23,594.4
4,19:18:23,62.8
5,19:18:23,1372.6
1,19:18:24,2398.8
2,19:18:24,63.4
3,19:18:24,2329.8
4,19:18:24,2472.6
5,19:18:24,414
1,19:18:25,1470.8
2,19:18:25,447.4
3,19:18:25,2241
4,19:18:25,2220.6
5,19:18:25,2969.4
1,19:18:26,419.6
2,19:18:26,658.2
3,19:18:26,1392
4,19:18:26,1481
5,19:18:26,2083.6
1,19:18:27,935.8
2,19:18:27,1637
3,19:18:27,856.6
4,19:18:27,1981
5,19:18:27,191
1,19:18:28,971
2,19:18:28,1156.4
3,19:18:28,2247.2
4,19:18:28,577.4
5,19:18:28,446.4
1,19:18:29,2301.2
2,19:18:29,799.6
3,19:18:29,1453
4,19:18:29,1231.6
5,19:18:29,975.6
1,19:18:30,19
2,19:18:30,794.8
3,19:18:30,2675.8
4,19:18:30,1247.4
5,19:18:30,2799.2
1,19:18:31,1912.6
2,19:18:31,284.6
3,19:18:31,2465.4
4,19:18:31,7.4
5,19:18:31,924.6
1,19:18:32,1452.2
2,19:18:32,688
3,19:18:32,1598
4,19:18:32,1092.8
5,19:18:32,404.6
1,19:18:33,1162
2,19:18:33,1418.4
3,19:18:33,2731
4,19:18:33,376.6
5,19:18:33,2143.2
1,19:18:34,352
2,19:18:34,2851.2
3,19:18:34,960.4
4,19:18:34,1349.8
5,19:18:34,1991.2
1,19:18:35,1347.6
2,19:18:35,34.2
3,19:18:35,103.8
4,19:18:35,949.2
5,19:18:35,199
1,19:18:36,847
2,19:18:36,1342.2
3,19:18:36,707.6
4,19:18:36,2425.4
5,19:18:36,559.4
1,19:18:37,2129.6
2,19:18:37,1832
3,19:18:37,2666.2
4,19:18:37,394.6
5,19:18:37,1730.2
1,19:18:38,1790.6
2,19:18:38,1604.6
3,19:18:38,1783.4
4,19:18:38,2504.2
5,19:18:38,276.4
1,19:18:39,2865.8
2,19:18:39,1886.2
3,19:18:39,2642.8
4,19:18:39,1520
5,19:18:39,619.6
1,19:18:40,1438.4
2,19:18:40,183.4
3,19:18:40,2279.2
4,19:18:40,835.6
5,19:18:40,316.8
1,19:18:41,2974.2
2,19:18:41,188.8
3,19:18:41,1199.4
4,19:18:41,1838
5,19:18:41,2198
1,19:18:42,2941.8
2,19:18:42,350.2
3,19:18:42,1337
4,19:18:42,387.6
